Store,Date,Promotion_Flag,Customer_Traffic,Satisfaction_Score
1,2011-06-14,1,798,3.17
1,2011-06-21,0,342,3.04
1,2011-06-28,1,185,3.55
1,2011-07-05,0,895,2.0
1,2011-07-12,1,677,3.36
1,2011-07-19,1,781,4.92
1,2011-07-26,1,656,2.95
1,2011-08-02,0,673,4.62
1,2011-08-09,1,745,2.74
1,2011-08-16,0,895,2.4
1,2011-08-23,1,127,3.58
1,2011-08-30,0,719,3.68
1,2011-09-06,1,655,4.46
1,2011-09-13,0,439,1.92
1,2011-09-20,0,897,3.0
1,2011-09-27,1,430,3.29
1,2011-10-04,0,739,4.07
1,2011-10-11,1,605,1.17
1,2011-10-18,1,447,4.98
1,2011-10-25,1,572,2.88
1,2011-11-01,1,330,2.12
1,2011-11-08,1,289,4.53
1,2011-11-15,1,324,3.99
1,2011-11-22,1,484,4.81
1,2011-11-29,1,476,2.32
1,2011-12-06,1,382,3.21
1,2011-12-13,1,732,3.29
1,2011-12-20,1,727,4.92
1,2011-12-27,0,844,1.3
1,2012-01-03,0,358,2.22
1,2012-01-10,1,458,1.76
1,2012-01-17,1,809,2.07
1,2012-01-24,1,555,2.94
1,2012-01-31,1,510,2.49
1,2012-02-07,1,748,2.58
1,2012-02-14,1,417,4.38
1,2012-02-21,1,776,4.72
1,2012-02-28,1,324,1.28
1,2012-03-06,0,918,1.84
1,2012-03-13,1,333,3.68
1,2012-03-20,0,783,2.43
1,2012-03-27,1,763,2.02
1,2012-04-03,1,926,2.18
1,2012-04-10,0,473,2.29
1,2012-04-17,1,771,4.39
1,2012-04-24,0,707,1.55
1,2012-05-01,1,571,3.84
1,2012-05-08,1,332,3.21
1,2012-05-15,0,791,2.19
1,2012-05-22,1,212,2.68
1,2012-05-29,0,929,2.02
1,2012-06-05,1,596,3.45
1,2012-06-12,0,541,1.33
1,2012-06-19,0,663,1.02
1,2012-06-26,1,367,3.51
1,2012-07-03,1,609,1.78
1,2012-07-10,0,906,1.28
1,2012-07-17,1,485,2.59
1,2012-07-24,1,486,1.2
1,2012-07-31,1,212,4.55
1,2012-08-07,0,712,1.11
1,2012-08-14,0,724,3.32
1,2012-08-21,0,180,2.75
1,2012-08-28,0,798,3.69
1,2012-09-04,0,212,2.31
1,2012-09-11,0,101,1.62
1,2012-09-18,0,741,4.93
1,2012-09-25,0,319,4.36
1,2012-10-02,0,665,4.44
1,2012-10-09,1,954,2.0
1,2012-10-16,0,835,1.16
1,2012-10-23,1,324,2.21
2,2010-02-02,0,934,1.95
2,2010-02-09,1,676,4.63
2,2010-02-16,0,516,3.37
2,2010-02-23,0,267,2.4
2,2010-03-02,1,941,3.83
2,2010-03-09,0,142,2.93
2,2010-03-16,1,655,2.51
2,2010-03-23,1,384,3.82
2,2010-03-30,1,496,1.99
2,2010-04-06,0,111,2.32
2,2010-04-13,0,706,2.74
2,2010-04-20,1,401,2.01
2,2010-04-27,1,997,2.62
2,2010-05-04,0,352,3.29
2,2010-05-11,1,598,3.96
2,2010-05-18,1,853,4.07
2,2010-05-25,1,134,4.29
2,2010-06-01,0,826,3.98
2,2010-06-08,0,948,3.72
2,2010-06-15,0,189,1.95
2,2010-06-22,1,875,2.6
2,2010-06-29,1,704,2.91
2,2010-07-06,1,701,1.33
2,2010-07-13,0,517,3.11
2,2010-07-20,1,214,2.75
2,2010-07-27,1,716,4.21
2,2010-08-03,1,295,4.91
2,2010-08-10,1,925,3.22
2,2010-08-17,0,600,2.29
2,2010-08-24,0,725,1.17
2,2010-08-31,1,592,4.7
2,2010-09-07,0,174,4.68
2,2010-09-14,0,512,2.01
2,2010-09-21,1,475,3.78
2,2010-09-28,1,519,1.3
2,2010-10-05,0,828,1.66
2,2010-10-12,1,376,1.87
2,2010-10-19,0,860,2.18
2,2010-10-26,1,775,4.98
2,2010-11-02,0,493,3.79
2,2010-11-09,1,968,2.54
2,2010-11-16,0,556,3.95
2,2010-11-23,0,291,4.66
2,2010-11-30,0,838,4.83
2,2010-12-07,1,788,1.23
2,2010-12-14,0,198,2.58
2,2010-12-21,0,647,1.43
2,2010-12-28,1,195,2.34
2,2011-01-04,1,763,1.68
2,2011-01-11,0,762,3.59
2,2011-01-18,0,289,2.55
2,2011-01-25,1,835,1.92
2,2011-02-01,1,136,2.06
2,2011-02-08,1,879,2.44
2,2011-02-15,1,468,2.04
2,2011-02-22,1,794,2.81
2,2011-03-01,0,624,1.13
2,2011-03-08,1,378,2.12
2,2011-03-15,0,316,2.64
2,2011-03-22,0,966,3.41
2,2011-03-29,0,972,2.08
2,2011-04-05,1,897,1.53
2,2011-04-12,0,372,1.3
2,2011-04-19,0,980,4.76
2,2011-04-26,1,161,2.67
2,2011-05-03,0,695,3.32
2,2011-05-10,0,979,4.68
2,2011-05-17,1,828,1.33
2,2011-05-24,0,441,4.51
2,2011-05-31,0,496,3.21
2,2011-06-07,0,798,1.66
2,2011-06-14,1,118,2.65
2,2011-06-21,1,276,4.11
2,2011-06-28,1,711,2.92
2,2011-07-05,0,495,4.94
2,2011-07-12,0,544,2.51
2,2011-07-19,1,332,4.0
2,2011-07-26,0,175,2.57
2,2011-08-02,0,364,4.32
2,2011-08-09,1,554,3.28
2,2011-08-16,1,895,1.25
2,2011-08-23,0,817,1.15
2,2011-08-30,0,834,1.54
2,2011-09-06,0,483,1.05
2,2011-09-13,1,663,1.3
2,2011-09-20,1,950,3.77
2,2011-09-27,1,605,3.14
2,2011-10-04,1,466,4.0
2,2011-10-11,0,243,4.65
2,2011-10-18,1,984,3.34
2,2011-10-25,1,168,3.9
2,2011-11-01,1,198,4.03
2,2011-11-08,1,495,2.51
2,2011-11-15,1,124,1.96
2,2011-11-22,0,990,1.82
2,2011-11-29,0,568,2.01
2,2011-12-06,1,583,2.1
2,2011-12-13,0,664,1.83
2,2011-12-20,1,250,4.51
2,2011-12-27,1,243,4.03
2,2012-01-03,0,668,1.19
2,2012-01-10,0,138,2.07
2,2012-01-17,1,208,1.09
2,2012-01-24,1,792,2.99
2,2012-01-31,1,141,2.9
2,2012-02-07,0,285,4.33
2,2012-02-14,1,497,2.23
2,2012-02-21,1,322,4.27
2,2012-02-28,1,733,4.87
2,2012-03-06,0,232,1.35
2,2012-03-13,1,262,4.17
2,2012-03-20,1,314,3.36
2,2012-03-27,0,832,2.92
2,2012-04-03,1,334,2.68
2,2012-04-10,1,942,4.14
2,2012-04-17,0,757,3.56
2,2012-04-24,1,850,4.22
2,2012-05-01,0,687,4.61
2,2012-05-08,0,108,3.47
2,2012-05-15,1,173,4.92
2,2012-05-22,1,591,3.43
2,2012-05-29,1,352,3.55
2,2012-06-05,1,329,3.22
2,2012-06-12,0,618,1.36
2,2012-06-19,1,273,3.91
2,2012-06-26,0,752,3.19
2,2012-07-03,1,267,2.8
2,2012-07-10,1,269,4.64
2,2012-07-17,1,492,2.19
2,2012-07-24,0,894,3.09
2,2012-07-31,1,733,3.79
2,2012-08-07,1,293,4.19
2,2012-08-14,1,616,2.84
2,2012-08-21,1,128,4.37
2,2012-08-28,0,264,4.08
2,2012-09-04,1,521,1.26
2,2012-09-11,0,438,1.18
2,2012-09-18,0,747,3.48
2,2012-09-25,0,595,2.39
2,2012-10-02,0,464,1.84
2,2012-10-09,0,932,3.32
2,2012-10-16,0,441,2.37
2,2012-10-23,1,599,3.15
3,2010-02-02,0,837,4.6
3,2010-02-09,0,542,3.5
3,2010-02-16,1,414,3.16
3,2010-02-23,0,976,2.75
3,2010-03-02,0,840,3.31
3,2010-03-09,1,476,2.42
3,2010-03-16,1,388,2.57
3,2010-03-23,1,536,3.13
3,2010-03-30,1,761,1.27
3,2010-04-06,1,376,1.92
3,2010-04-13,1,809,3.17
3,2010-04-20,1,681,2.73
3,2010-04-27,0,602,2.33
3,2010-05-04,0,723,3.92
3,2010-05-11,1,615,3.77
3,2010-05-18,0,449,1.67
3,2010-05-25,0,942,4.51
3,2010-06-01,0,545,2.98
3,2010-06-08,1,929,3.97
3,2010-06-15,1,449,3.29
3,2010-06-22,0,706,4.99
3,2010-06-29,1,763,4.01
3,2010-07-06,0,922,3.83
3,2010-07-13,0,236,4.11
3,2010-07-20,0,858,1.57
3,2010-07-27,0,998,1.82
3,2010-08-03,1,342,3.86
3,2010-08-10,1,642,2.98
3,2010-08-17,1,139,4.02
3,2010-08-24,0,328,1.41
3,2010-08-31,1,647,3.15
3,2010-09-07,0,322,2.52
3,2010-09-14,1,105,2.83
3,2010-09-21,0,421,3.42
3,2010-09-28,0,567,3.01
3,2010-10-05,0,831,3.16
3,2010-10-12,1,174,2.95
3,2010-10-19,1,103,2.64
3,2010-10-26,1,946,4.09
3,2010-11-02,1,745,1.05
3,2010-11-09,0,217,3.39
3,2010-11-16,1,980,3.26
3,2010-11-23,1,705,3.86
3,2010-11-30,0,603,3.4
3,2010-12-07,0,673,4.31
3,2010-12-14,0,540,4.84
3,2010-12-21,1,293,2.37
3,2010-12-28,0,946,1.91
3,2011-01-04,0,814,2.69
3,2011-01-11,0,491,2.15
3,2011-01-18,1,125,3.46
3,2011-01-25,0,534,4.65
3,2011-02-01,1,272,1.56
3,2011-02-08,1,399,1.4
3,2011-02-15,0,744,2.02
3,2011-02-22,0,425,3.9
3,2011-03-01,1,509,3.37
3,2011-03-08,0,217,1.41
3,2011-03-15,0,935,4.68
3,2011-03-22,1,886,4.16
3,2011-03-29,1,823,1.09
3,2011-04-05,0,324,3.61
3,2011-04-12,1,631,4.08
3,2011-04-19,0,212,2.5
3,2011-04-26,0,239,1.28
3,2011-05-03,0,658,1.31
3,2011-05-10,1,100,1.42
3,2011-05-17,0,189,4.36
3,2011-05-24,0,753,4.64
3,2011-05-31,0,419,1.49
3,2011-06-07,1,649,1.94
3,2011-06-14,1,904,1.66
3,2011-06-21,1,993,1.75
3,2011-06-28,1,238,4.35
3,2011-07-05,1,610,2.33
3,2011-07-12,0,967,2.25
3,2011-07-19,1,944,1.91
3,2011-07-26,1,358,3.43
3,2011-08-02,1,772,2.52
3,2011-08-09,0,789,3.98
3,2011-08-16,1,109,1.82
3,2011-08-23,1,360,4.15
3,2011-08-30,0,749,3.41
3,2011-09-06,1,271,1.46
3,2011-09-13,0,997,2.66
3,2011-09-20,0,112,4.45
3,2011-09-27,0,267,4.69
3,2011-10-04,0,741,2.86
3,2011-10-11,0,695,2.92
3,2011-10-18,1,420,4.67
3,2011-10-25,0,418,3.35
3,2011-11-01,0,712,1.13
3,2011-11-08,1,428,4.65
3,2011-11-15,0,884,1.99
3,2011-11-22,1,876,3.31
3,2011-11-29,1,649,1.66
3,2011-12-06,1,518,1.14
3,2011-12-13,0,705,2.25
3,2011-12-20,0,194,4.12
3,2011-12-27,0,916,2.11
3,2012-01-03,1,680,1.88
3,2012-01-10,0,417,1.85
3,2012-01-17,0,335,3.06
3,2012-01-24,0,433,4.9
3,2012-01-31,1,984,2.84
3,2012-02-07,1,475,3.23
3,2012-02-14,0,558,4.44
3,2012-02-21,0,236,3.14
3,2012-02-28,0,687,1.74
3,2012-03-06,0,646,2.2
3,2012-03-13,1,612,2.24
3,2012-03-20,1,395,2.59
3,2012-03-27,1,419,2.71
3,2012-04-03,1,671,4.2
3,2012-04-10,0,931,2.4
3,2012-04-17,0,448,2.87
3,2012-04-24,0,939,3.5
3,2012-05-01,1,878,2.51
3,2012-05-08,0,972,4.35
3,2012-05-15,1,328,3.35
3,2012-05-22,1,369,2.18
3,2012-05-29,0,927,3.86
3,2012-06-05,0,897,3.11
3,2012-06-12,0,390,3.14
3,2012-06-19,1,824,2.92
3,2012-06-26,0,264,2.99
3,2012-07-03,1,104,4.06
3,2012-07-10,0,950,1.41
3,2012-07-17,1,478,2.34
3,2012-07-24,1,177,1.3
3,2012-07-31,0,509,4.01
3,2012-08-07,1,673,2.09
3,2012-08-14,1,231,4.59
3,2012-08-21,0,700,3.11
3,2012-08-28,1,848,4.2
3,2012-09-04,0,141,4.92
3,2012-09-11,1,188,4.36
3,2012-09-18,0,501,4.47
3,2012-09-25,0,395,2.63
3,2012-10-02,1,939,3.21
3,2012-10-09,1,394,2.02
3,2012-10-16,1,715,1.78
3,2012-10-23,1,625,3.02
4,2010-02-02,1,575,4.54
4,2010-02-09,1,801,3.12
4,2010-02-16,0,733,2.76
4,2010-02-23,0,657,2.62
4,2010-03-02,0,675,3.29
4,2010-03-09,0,229,4.22
4,2010-03-16,0,921,3.15
4,2010-03-23,0,462,3.65
4,2010-03-30,1,804,3.95
4,2010-04-06,0,918,3.08
4,2010-04-13,1,792,2.71
4,2010-04-20,1,391,4.51
4,2010-04-27,0,470,2.67
4,2010-05-04,1,893,2.85
4,2010-05-11,1,128,4.96
4,2010-05-18,1,248,1.0
4,2010-05-25,1,878,1.74
4,2010-06-01,1,395,2.54
4,2010-06-08,1,110,4.73
4,2010-06-15,0,611,1.28
4,2010-06-22,1,775,1.04
4,2010-06-29,1,212,1.21
4,2010-07-06,1,286,1.35
4,2010-07-13,0,906,1.15
4,2010-07-20,1,843,2.92
4,2010-07-27,0,326,3.32
4,2010-08-03,1,409,2.09
4,2010-08-10,0,197,2.59
4,2010-08-17,0,154,1.37
4,2010-08-24,1,722,2.35
4,2010-08-31,1,763,3.09
4,2010-09-07,0,857,3.93
4,2010-09-14,1,505,1.01
4,2010-09-21,0,168,2.87
4,2010-09-28,0,411,2.19
4,2010-10-05,0,388,4.41
4,2010-10-12,0,861,3.86
4,2010-10-19,0,647,3.36
4,2010-10-26,1,850,2.11
4,2010-11-02,0,247,4.64
4,2010-11-09,0,566,1.18
4,2010-11-16,1,838,1.44
4,2010-11-23,0,343,2.57
4,2010-11-30,1,590,1.5
4,2010-12-07,1,948,4.83
4,2010-12-14,1,606,4.19
4,2010-12-21,0,464,2.04
4,2010-12-28,0,581,3.35
4,2011-01-04,0,300,4.93
4,2011-01-11,1,253,4.54
4,2011-01-18,0,549,3.4
4,2011-01-25,1,600,4.61
4,2011-02-01,0,172,4.96
4,2011-02-08,1,812,3.97
4,2011-02-15,0,395,1.26
4,2011-02-22,0,116,2.61
4,2011-03-01,0,740,4.35
4,2011-03-08,1,316,1.92
4,2011-03-15,1,160,4.32
4,2011-03-22,0,715,1.48
4,2011-03-29,0,141,1.19
4,2011-04-05,1,124,2.54
4,2011-04-12,1,138,1.15
4,2011-04-19,1,902,4.83
4,2011-04-26,0,230,4.3
4,2011-05-03,1,597,4.2
4,2011-05-10,0,328,3.52
4,2011-05-17,1,207,1.87
4,2011-05-24,0,271,3.07
4,2011-05-31,1,534,3.39
4,2011-06-07,1,577,3.1
4,2011-06-14,1,201,2.04
4,2011-06-21,1,965,3.06
4,2011-06-28,1,623,2.96
4,2011-07-05,0,374,4.99
4,2011-07-12,1,712,4.59
4,2011-07-19,1,143,2.85
4,2011-07-26,1,916,3.49
4,2011-08-02,0,116,3.99
4,2011-08-09,1,429,1.14
4,2011-08-16,0,668,4.58
4,2011-08-23,1,922,4.44
4,2011-08-30,1,596,2.83
4,2011-09-06,0,914,2.56
4,2011-09-13,1,111,2.09
4,2011-09-20,0,417,2.91
4,2011-09-27,0,691,1.18
4,2011-10-04,1,315,4.41
4,2011-10-11,0,438,1.14
4,2011-10-18,1,875,2.32
4,2011-10-25,1,760,4.73
4,2011-11-01,0,180,3.94
4,2011-11-08,0,826,2.13
4,2011-11-15,0,584,2.01
4,2011-11-22,0,473,1.02
4,2011-11-29,1,809,3.78
4,2011-12-06,1,299,1.2
4,2011-12-13,0,636,3.13
4,2011-12-20,1,565,4.85
4,2011-12-27,1,188,1.44
4,2012-01-03,1,367,4.58
4,2012-01-10,1,754,4.97
4,2012-01-17,0,670,1.25
4,2012-01-24,0,588,4.53
4,2012-01-31,1,976,3.06
4,2012-02-07,0,637,4.63
4,2012-02-14,0,146,3.29
4,2012-02-21,0,387,3.65
4,2012-02-28,1,877,3.18
4,2012-03-06,1,115,4.46
4,2012-03-13,1,810,3.94
4,2012-03-20,0,500,3.09
4,2012-03-27,1,893,4.47
4,2012-04-03,1,185,1.98
4,2012-04-10,0,349,1.63
4,2012-04-17,1,490,1.64
4,2012-04-24,1,881,2.34
4,2012-05-01,0,434,1.95
4,2012-05-08,0,728,4.72
4,2012-05-15,0,618,1.42
4,2012-05-22,1,236,3.8
4,2012-05-29,1,982,1.76
4,2012-06-05,1,787,4.53
4,2012-06-12,0,939,4.85
4,2012-06-19,0,597,2.86
4,2012-06-26,1,926,4.52
4,2012-07-03,1,826,1.02
4,2012-07-10,0,576,4.28
4,2012-07-17,0,693,1.91
4,2012-07-24,0,322,4.63
4,2012-07-31,0,471,1.0
4,2012-08-07,1,501,3.22
4,2012-08-14,0,542,4.03
4,2012-08-21,1,589,2.03
4,2012-08-28,1,714,1.77
4,2012-09-04,1,372,1.34
4,2012-09-11,0,625,2.31
4,2012-09-18,0,258,3.24
4,2012-09-25,0,251,1.46
4,2012-10-02,0,719,2.51
4,2012-10-09,1,287,1.04
4,2012-10-16,0,912,4.27
4,2012-10-23,0,197,1.51
5,2010-02-02,0,998,3.17
5,2010-02-09,1,657,2.97
5,2010-02-16,0,626,1.33
5,2010-02-23,1,252,2.61
5,2010-03-02,0,833,1.88
5,2010-03-09,1,305,2.67
5,2010-03-16,1,554,1.81
5,2010-03-23,0,372,4.36
5,2010-03-30,1,993,1.7
5,2010-04-06,1,335,4.84
5,2010-04-13,0,951,2.66
5,2010-04-20,1,839,4.38
5,2010-04-27,0,620,3.52
5,2010-05-04,0,777,3.94
5,2010-05-11,1,930,4.07
5,2010-05-18,1,825,3.02
5,2010-05-25,1,600,3.17
5,2010-06-01,1,216,3.06
5,2010-06-08,1,485,3.35
5,2010-06-15,1,443,1.12
5,2010-06-22,1,683,2.58
5,2010-06-29,0,494,3.42
5,2010-07-06,1,163,3.39
5,2010-07-13,0,816,4.17
5,2010-07-20,1,820,3.62
5,2010-07-27,1,171,4.97
5,2010-08-03,0,888,2.14
5,2010-08-10,1,373,2.44
5,2010-08-17,1,419,2.54
5,2010-08-24,0,437,2.86
5,2010-08-31,1,465,4.34
5,2010-09-07,1,594,1.94
5,2010-09-14,1,706,4.1
5,2010-09-21,0,265,2.62
5,2010-09-28,1,643,3.41
5,2010-10-05,1,110,3.53
5,2010-10-12,1,400,2.49
5,2010-10-19,1,828,3.05
5,2010-10-26,0,900,2.65
5,2010-11-02,0,201,1.28
5,2010-11-09,1,524,2.75
5,2010-11-16,1,491,1.39
5,2010-11-23,0,878,2.62
5,2010-11-30,0,313,3.37
5,2010-12-07,1,790,3.32
5,2010-12-14,0,187,3.65
5,2010-12-21,1,652,1.38
5,2010-12-28,0,500,3.61
5,2011-01-04,0,687,2.25
5,2011-01-11,0,988,2.6
5,2011-01-18,0,145,4.43
5,2011-01-25,1,771,1.04
5,2011-02-01,0,562,3.35
5,2011-02-08,0,691,3.39
5,2011-02-15,1,409,2.59
5,2011-02-22,0,185,1.95
5,2011-03-01,0,191,1.94
5,2011-03-08,1,759,4.53
5,2011-03-15,0,772,2.77
5,2011-03-22,1,813,2.32
5,2011-03-29,1,341,2.8
5,2011-04-05,1,964,3.68
5,2011-04-12,1,101,1.58
5,2011-04-19,0,324,2.8
5,2011-04-26,1,900,3.35
5,2011-05-03,0,844,4.79
5,2011-05-10,0,688,2.01
5,2011-05-17,0,215,2.44
5,2011-05-24,0,765,2.52
5,2011-05-31,0,202,3.42
5,2011-06-07,0,293,2.43
5,2011-06-14,0,265,3.13
5,2011-06-21,0,970,4.13
5,2011-06-28,0,189,3.82
5,2011-07-05,0,785,2.79
5,2011-07-12,1,221,4.46
5,2011-07-19,1,242,3.23
5,2011-07-26,1,205,3.16
5,2011-08-02,0,986,1.14
5,2011-08-09,1,527,4.95
5,2011-08-16,1,404,1.49
5,2011-08-23,1,971,1.92
5,2011-08-30,0,416,1.21
5,2011-09-06,0,734,3.56
5,2011-09-13,0,108,1.9
5,2011-09-20,0,873,1.72
5,2011-09-27,1,172,1.35
5,2011-10-04,1,458,1.41
5,2011-10-11,1,322,3.34
5,2011-10-18,1,515,3.75
5,2011-10-25,0,652,2.59
5,2011-11-01,0,469,2.92
5,2011-11-08,0,815,3.74
5,2011-11-15,1,363,1.07
5,2011-11-22,0,939,2.29
5,2011-11-29,0,789,4.89
5,2011-12-06,1,959,3.32
5,2011-12-13,1,417,2.02
5,2011-12-20,0,183,3.09
5,2011-12-27,0,417,2.37
5,2012-01-03,0,210,3.13
5,2012-01-10,0,350,1.5
5,2012-01-17,0,482,1.53
5,2012-01-24,0,106,1.57
5,2012-01-31,1,558,4.76
5,2012-02-07,1,183,3.93
5,2012-02-14,1,307,1.65
5,2012-02-21,0,999,1.75
5,2012-02-28,1,489,3.92
5,2012-03-06,0,413,1.62
5,2012-03-13,0,121,1.94
5,2012-03-20,1,509,4.85
5,2012-03-27,0,994,2.02
5,2012-04-03,0,614,3.65
5,2012-04-10,1,226,4.91
5,2012-04-17,1,908,2.5
5,2012-04-24,1,799,1.07
5,2012-05-01,0,973,1.98
5,2012-05-08,1,113,4.32
5,2012-05-15,1,111,4.46
5,2012-05-22,0,186,4.07
5,2012-05-29,1,623,1.45
5,2012-06-05,1,636,4.18
5,2012-06-12,1,400,4.67
5,2012-06-19,0,342,3.4
5,2012-06-26,0,221,4.76
5,2012-07-03,0,246,4.31
5,2012-07-10,0,666,3.67
5,2012-07-17,1,849,3.31
5,2012-07-24,0,455,2.39
5,2012-07-31,0,784,1.64
5,2012-08-07,1,832,3.42
5,2012-08-14,1,730,2.27
5,2012-08-21,1,408,4.47
5,2012-08-28,0,794,4.97
5,2012-09-04,0,387,4.01
5,2012-09-11,0,406,1.36
5,2012-09-18,1,911,2.15
5,2012-09-25,1,693,1.44
5,2012-10-02,0,822,3.6
5,2012-10-09,1,761,4.06
5,2012-10-16,1,648,4.7
5,2012-10-23,1,451,2.75
6,2010-02-02,1,475,1.39
6,2010-02-09,1,784,2.8
6,2010-02-16,0,461,4.02
6,2010-02-23,0,658,2.39
6,2010-03-02,0,990,3.66
6,2010-03-09,0,240,4.18
6,2010-03-16,0,986,4.71
6,2010-03-23,0,217,1.94
6,2010-03-30,0,376,2.6
6,2010-04-06,1,825,1.61
6,2010-04-13,1,319,4.97
6,2010-04-20,1,125,4.71
6,2010-04-27,0,620,3.16
6,2010-05-04,0,882,4.37
6,2010-05-11,0,109,3.08
6,2010-05-18,0,477,3.49
6,2010-05-25,0,732,1.36
6,2010-06-01,1,736,4.02
6,2010-06-08,1,781,1.51
6,2010-06-15,0,683,4.3
6,2010-06-22,0,251,4.13
6,2010-06-29,0,819,3.83
6,2010-07-06,0,148,1.14
6,2010-07-13,1,253,2.21
6,2010-07-20,0,958,2.05
6,2010-07-27,0,392,2.44
6,2010-08-03,0,679,1.35
6,2010-08-10,0,149,4.75
6,2010-08-17,1,763,3.22
6,2010-08-24,0,630,2.22
6,2010-08-31,0,711,2.59
6,2010-09-07,1,159,2.79
6,2010-09-14,1,266,3.4
6,2010-09-21,1,301,3.06
6,2010-09-28,0,956,4.68
6,2010-10-05,0,245,2.99
6,2010-10-12,1,775,4.97
6,2010-10-19,1,538,4.41
6,2010-10-26,1,341,1.83
6,2010-11-02,1,680,4.72
6,2010-11-09,1,786,1.47
6,2010-11-16,1,660,4.27
6,2010-11-23,0,582,2.52
6,2010-11-30,0,207,4.51
6,2010-12-07,0,325,4.47
6,2010-12-14,1,772,4.22
6,2010-12-21,1,730,4.16
6,2010-12-28,1,760,2.22
6,2011-01-04,1,761,1.32
6,2011-01-11,1,531,2.61
6,2011-01-18,1,904,1.69
6,2011-01-25,0,754,3.78
6,2011-02-01,0,518,2.38
6,2011-02-08,1,554,4.9
6,2011-02-15,0,259,3.56
6,2011-02-22,1,622,4.29
6,2011-03-01,0,749,1.53
6,2011-03-08,1,689,4.45
6,2011-03-15,1,176,4.69
6,2011-03-22,0,608,2.95
6,2011-03-29,0,540,3.43
6,2011-04-05,1,353,4.06
6,2011-04-12,1,869,1.7
6,2011-04-19,0,419,3.01
6,2011-04-26,0,902,2.59
6,2011-05-03,1,362,1.59
6,2011-05-10,0,696,2.47
6,2011-05-17,1,757,1.27
6,2011-05-24,1,934,1.1
6,2011-05-31,1,653,1.54
6,2011-06-07,1,473,4.85
6,2011-06-14,0,736,3.2
6,2011-06-21,0,266,4.86
6,2011-06-28,0,852,2.73
6,2011-07-05,0,558,2.25
6,2011-07-12,0,379,3.02
6,2011-07-19,0,799,2.76
6,2011-07-26,0,401,1.42
6,2011-08-02,1,630,3.56
6,2011-08-09,0,679,1.86
6,2011-08-16,0,317,3.48
6,2011-08-23,1,201,3.6
6,2011-08-30,0,653,1.61
6,2011-09-06,0,387,1.25
6,2011-09-13,1,266,4.12
6,2011-09-20,0,720,2.84
6,2011-09-27,0,135,1.23
6,2011-10-04,0,843,4.98
6,2011-10-11,1,840,1.23
6,2011-10-18,0,452,3.78
6,2011-10-25,0,775,4.93
6,2011-11-01,1,998,1.96
6,2011-11-08,0,172,1.57
6,2011-11-15,1,747,1.49
6,2011-11-22,1,452,2.21
6,2011-11-29,0,990,1.4
6,2011-12-06,1,169,3.77
6,2011-12-13,1,524,1.25
6,2011-12-20,0,807,3.04
6,2011-12-27,1,880,4.99
6,2012-01-03,1,660,4.26
6,2012-01-10,0,927,3.46
6,2012-01-17,0,741,2.23
6,2012-01-24,0,616,3.5
